,Player,SGoffTheTee,SGteeToGreen,Par3 Scoring_Avergage,Par4 Scoring_Avergage,Ball Striking,Driving Accuracy,Total Putting,Scrambling,SG:AroundTheGreen,Rough Proximity,Birdie/Better_125-150,Total
28,Emiliano Grillo,28,26,2,12,33,51,28,78,121,196,1,576
77,Chez Reavie,45,39,20,11,135,9,100,50,141,72,8,630
79,Justin Rose,15,7,90,2,21,231,150,46,47,26,29,664
96,Kevin Streelman,25,23,115,18,12,54,326,28,67,3,115,786
92,Jordan Spieth,18,2,38,8,60,300,374,12,8,8,5,833
22,Rickie Fowler,69,38,52,7,81,189,180,14,35,160,23,848
45,Chris Kirk,94,29,26,45,207,174,204,20,38,62,63,962
13,Austin Cook,75,84,5,94,243,126,26,96,43,28,166,986
33,Brian Harman,50,78,137,14,126,63,134,222,128,5,30,987
16,Bryson DeChambeau,12,11,105,21,27,243,222,162,95,44,66,1008
14,Ben Crane,168,124,103,19,354,48,38,32,61,21,59,1027
48,Russell Knox,73,44,121,33,75,111,342,128,45,71,45,1088
76,Jon Rahm,2,21,76,3,48,387,138,206,62,95,55,1093
15,Joel Dahmen,74,96,104,20,147,105,306,56,116,14,85,1123
40,Zach Johnson,103,31,15,32,339,279,160,88,20,47,18,1132
31,Adam Hadwin,90,33,70,30,162,159,156,238,42,37,117,1134
37,Beau Hossler,48,115,73,44,153,339,88,132,75,24,72,1163
70,Pat Perez,78,97,58,23,45,33,218,368,114,146,3,1183
90,Brandt Snedeker,119,106,77,35,372,120,112,54,44,80,71,1190
52,Matt Kuchar,127,76,140,22,261,210,84,72,70,17,114,1193
80,Rory Sabbatini,66,55,144,25,309,264,162,66,11,11,83,1196
30,Chesson Hadley,100,30,13,13,198,411,10,252,117,10,48,1202
100,Vaughn Taylor,104,88,62,87,270,66,124,104,101,82,145,1233
54,Martin Laird,95,60,141,63,189,234,188,152,25,33,60,1240
88,Webb Simpson,96,32,91,17,390,342,16,4,19,164,80,1251
1,Ryan Armour,113,65,64,92,219,6,310,164,18,89,118,1258
98,Brian Stuard,144,129,94,71,267,15,74,188,96,81,116,1275
39,John Huh,110,102,14,79,327,150,40,168,133,126,33,1282
108,Aaron Wise,32,59,100,39,117,288,118,248,105,121,78,1305
73,J.T. Poston,42,75,10,86,129,252,302,236,56,103,31,1322
69,C.T. Pan,68,92,125,101,36,39,216,356,118,15,170,1336
64,Kevin Na,183,40,9,66,408,177,176,18,1,178,98,1354
85,Adam Scott,34,9,129,104,3,225,388,276,41,162,46,1417
50,Jason Kokrak,44,54,7,62,156,510,96,232,119,57,90,1427
34,Russell Henley,101,110,107,97,87,60,90,392,200,144,49,1437
10,Alex Cejka,93,56,66,107,459,144,288,22,5,52,147,1439
23,Jim Furyk,177,118,84,126,516,45,76,34,26,105,151,1458
66,Louis Oosthuizen,30,63,113,52,369,312,266,10,14,25,205,1459
71,Scott Piercy,79,13,126,24,159,216,400,260,88,12,92,1469
12,Corey Conners,41,57,12,108,54,306,376,230,150,58,107,1499
91,J.J. Spaun,84,45,78,36,114,291,330,288,156,78,4,1504
9,Patrick Cantlay,11,17,82,42,111,360,332,226,31,195,138,1545
55,Andrew Landry,43,108,54,47,405,351,126,124,184,4,104,1550
46,Kevin Kisner,163,165,53,81,300,81,14,302,108,108,184,1559
62,Trey Mullinax,13,109,57,100,216,543,42,240,159,18,62,1559
61,William McGirt,150,107,18,117,399,321,32,40,103,127,179,1593
17,Jason Dufner,63,79,197,29,321,333,136,106,148,41,150,1603
60,Ben Martin,151,131,110,65,447,192,78,170,125,152,58,1679
75,Andrew Putnam,152,81,28,69,213,402,194,220,66,135,132,1692
101,Michael Thompson,158,167,145,88,132,222,60,348,136,119,136,1711
106,Nick Watney,58,93,98,89,237,546,34,268,176,19,108,1726
86,Conrad Shindler,88,138,48,150,345,213,294,86,162,137,75,1736
57,Nicholas Lindheim,166,170,55,48,252,366,20,394,107,111,52,1741
109,Xinjun Zhang,126,158,63,175,210,141,390,112,85,203,87,1750
65,Sean O'Hair,64,119,195,118,297,303,86,148,173,113,140,1756
26,Talor Gooch,140,112,33,110,384,465,210,84,72,114,41,1765
81,Sam Saunders,49,85,60,149,282,432,102,338,131,132,17,1777
78,Patrick Rodgers,146,162,46,166,291,390,36,196,58,198,99,1788
82,Xander Schauffele,37,50,127,102,294,429,256,144,89,147,120,1795
36,Tom Hoge,115,74,72,113,507,285,312,58,92,123,47,1798
105,Jimmy Walker,178,62,49,54,477,534,182,194,29,32,9,1800
47,Patton Kizzire,157,101,34,46,288,564,70,294,142,35,74,1805
83,Adam Schenk,81,148,128,133,177,384,82,272,123,133,149,1810
18,Tyler Duncan,54,89,161,142,168,138,408,382,189,69,26,1826
8,Chad Campbell,106,125,180,141,330,90,404,180,84,38,160,1838
0,Abraham Ancer,99,111,80,73,432,330,278,70,143,46,185,1847
24,Brice Garnett,57,139,119,144,201,147,328,216,183,140,193,1867
58,David Lingmerth,120,182,194,130,519,87,94,234,186,106,16,1868
19,Harris English,176,147,83,109,360,426,142,154,64,190,21,1872
67,Ryan Palmer,27,86,196,119,204,336,384,256,179,64,37,1888
107,Richy Werenski,122,161,187,121,351,180,268,246,94,118,68,1916
51,Kelly Kraft,188,174,122,162,468,240,106,178,187,63,77,1965
74,Seamus Power,108,176,75,132,501,567,30,80,160,45,94,1968
84,Ollie Schniederjans,165,66,47,103,531,576,108,190,22,104,67,1979
35,Charley Hoffman,55,69,162,61,363,525,244,318,144,34,13,1988
87,Ben Silverman,123,163,130,167,462,186,148,250,153,183,34,1999
29,Bill Haas,130,61,69,111,504,516,300,98,17,74,122,2002
3,Ryan Blaum,85,130,178,139,333,114,348,390,111,142,38,2008
53,Anirban Lahiri,112,145,74,114,456,369,232,212,49,149,97,2009
44,Si Woo Kim,17,53,139,145,438,327,276,310,37,139,133,2014
102,Kevin Tway,47,67,97,135,240,573,270,292,132,91,88,2032
